"Category","Slug","Name","Version","UUID","AnyGitRef","Path"
"plugins","workflow-automation","Workflow Automation Lite","1.0.0.2","com.packrat.workflow","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\workflow-automation"
"plugins","workflow-automation-pro","Workflow Automation Pro","1.0.0.1","com.packrat.workflowpro","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\workflow-automation-pro"
"profiles","ai-prompts-coach","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\ai-prompts-coach"
"profiles","ai-prompts-creator","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\ai-prompts-creator"
"profiles","ai-prompts-developer","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\ai-prompts-developer"
"profiles","ai-prompts-freelancer","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\ai-prompts-freelancer"
"profiles","ai-prompts-lite","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\ai-prompts-lite"
"profiles","ai-prompts-marketing","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\ai-prompts-marketing"
"profiles","ai-prompt-toolkit","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\ai-prompt-toolkit"
"profiles","cs2","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\cs2"
"profiles","davinci-resolve","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\davinci-resolve"
"profiles","davinci-resolve-lite","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\davinci-resolve-lite"
"profiles","davinci-resolve-pro","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\davinci-resolve-pro"
"profiles","discord-essentials","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\discord-essentials"
"profiles","dota2","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\dota2"
"profiles","elite-dangerous","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\elite-dangerous"
"profiles","epic-pen","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\epic-pen"
"profiles","epic-pen-pro","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\epic-pen-pro"
"profiles","fl-studio","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\fl-studio"
"profiles","fortnite","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\fortnite"
"profiles","forza","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\forza"
"profiles","foundry-vtt","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\foundry-vtt"
"profiles","league-of-legends","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\league-of-legends"
"profiles","minecraft","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\minecraft"
"profiles","osrs","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\osrs"
"profiles","osrs-vsd","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\osrs-vsd"
"profiles","palworld","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\palworld"
"profiles","satisfactory","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\satisfactory"
"profiles","solidworks","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\solidworks"
"profiles","streamer-starter-pack","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\streamer-starter-pack"
"profiles","streamer-university","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\streamer-university"
"profiles","valorant","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\valorant"
"profiles","vectorworks","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\vectorworks"
"profiles","world-of-warcraft","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\world-of-warcraft"
"profiles","world-of-warcraft-vsd","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\profiles\world-of-warcraft-vsd"
"widgets/_src","agenda-panel","","","","True","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\agenda-panel"
"widgets/_src","ai-usage","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\ai-usage"
"widgets/_src","ambient-clock","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\ambient-clock"
"widgets/_src","crypto-portfolio","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\crypto-portfolio"
"widgets/_src","home-assistant","","","","True","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\home-assistant"
"widgets/_src","market-command-center","","","","True","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\market-command-center"
"widgets/_src","net-dashboard","","","","True","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\net-dashboard"
"widgets/_src","net-spike","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\net-spike"
"widgets/_src","now-playing","","","","True","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\now-playing"
"widgets/_src","obs-dashboard","","","","True","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\obs-dashboard"
"widgets/_src","perf-grapher","","","","True","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\perf-grapher"
"widgets/_src","retro-terminal","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\retro-terminal"
"widgets/_src","rig-battery","","","","True","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\rig-battery"
"widgets/_src","sports","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\widgets\_src\sports"
